sourceMac,typeNr,subTypeNr,seqNr,retryFlag,measurementTimestamp,droneId,signal
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3453,0,1423137124429,Hotel,-72
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3453,0,1423137124437,November,-72
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3455,0,1423137124502,Hotel,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3455,0,1423137124511,November,-74
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,13,269,0,1423137124518,Hotel,-79
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3456,0,1423137124524,November,-74
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3455,0,1423137124542,Alpha,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3460,0,1423137124750,November,-79
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3460,0,1423137124782,Alpha,-72
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3461,0,1423137124827,November,-79
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3461,0,1423137124859,Alpha,-71
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3462,0,1423137124984,Alpha,-71
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3463,0,1423137125449,Alpha,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3465,0,1423137126425,Hotel,-77
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3465,0,1423137126465,Alpha,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3467,0,1423137126829,Alpha,-74
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3853,0,1423137154343,Hotel,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3853,0,1423137154351,November,-79
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3853,0,1423137154358,Romeo,-91
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3474,0,1423137154406,November,-75
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,3853,0,1423137154409,Kilo,-93
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3474,0,1423137154438,Alpha,-62
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3477,0,1423137215932,Alpha,-62
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2061,0,1423137250616,November,-73
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2317,0,1423137250638,November,-72
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,0,4,2317,0,1423137250644,Romeo,-92
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3484,0,1423137250682,November,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3485,0,1423137250698,November,-69
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3484,0,1423137250714,Alpha,-62
3c560f25491f3902870e392f58973155c284fa24a736efa99897d090a7e0be87,2,4,3485,0,1423137250729,Alpha,-63
